Synset,Labels,res_nrdirhypos,res_nrdirhypers,res_nrhypos,res_depthfromtopsynset,res_glosslength,res_nroflemmas,res_freq,res_polyscore_max,res_polyscore_sum,res_wordlength,res_minwordlength,res_nrpartrels,res_nrmiscrels,res_ngrams_all_mean,res_ngrams_last_mean,res_ngrams_all_max,res_ngrams_last_max
b'edible_fruit.n.01',h,75,2,196,6,74,1,0,1,1.0,12.0,12,1,0,7.99644515359077e-06,6.843048083737814e-08,7.99644515359077e-06,6.843048083737814e-08
b'ackee.n.01',b,0,1,0,7,95,2,0,2,1.5,4.5,4,1,0,1.0485363715340146e-06,3.2311950670660394e-08,1.050874046226724e-06,5.146536441458238e-08
b'anchovy_pear.n.02',b,0,1,0,7,53,2,0,2,1.5,11.0,10,1,0,2.6809249622367082e-08,2.2998774412696927e-10,5.3618499244734164e-08,4.5997548825393853e-10
b'apple.n.01',b,3,2,26,7,76,1,1,2,2.0,5.0,5,1,0,0.0018859583383346,2.069602851406671e-05,0.0018859583383346,2.069602851406671e-05
b'cooking_apple.n.01',l,4,1,4,8,62,1,0,1,1.0,13.0,13,0,0,1.0116081146094302e-06,1.1426231960598445e-08,1.0116081146094302e-06,1.1426231960598445e-08
b'bramley's_seedling.n.01',l,0,1,0,9,24,1,0,1,1.0,18.0,18,0,0,1.134959147830461e-06,6.501714278073223e-09,1.134959147830461e-06,6.501714278073223e-09
b'lane's_prince_albert.n.01',l,0,1,0,9,31,1,0,1,1.0,20.0,20,0,0,7.387344738568613e-07,3.706186468832584e-09,7.387344738568613e-07,3.706186468832584e-09
b'newtown_wonder.n.01',l,0,1,0,9,31,1,0,1,1.0,14.0,14,0,0,0.0,0.0,0.0,0.0
b'rome_beauty.n.01',l,0,1,0,9,41,1,0,1,1.0,11.0,11,0,0,3.331276505202929e-06,1.8348079500185577e-08,3.331276505202929e-06,1.8348079500185577e-08
b'crab_apple.n.03',l,0,1,0,8,41,2,0,3,3.0,9.5,9,1,0,6.047931668917705e-06,7.539182966809221e-08,7.060825654159331e-06,7.872030138855736e-08
b'eating_apple.n.01',l,15,1,19,8,54,2,0,1,1.0,12.5,12,0,0,2.04835456694974e-06,1.5125306118690673e-08,2.691961875050941e-06,1.689653394976176e-08
b'baldwin.n.03',l,0,1,0,9,56,1,0,3,3.0,7.0,7,0,0,0.001203027822612,9.839106041908964e-06,0.001203027822612,9.839106041908964e-06
b'cortland.n.01',l,0,1,0,9,27,1,0,1,1.0,8.0,8,0,0,4.7361468758166936e-05,3.0932770300751145e-07,4.7361468758166936e-05,3.0932770300751145e-07
b'delicious.n.01',l,2,1,2,9,30,1,0,3,3.0,9.0,9,0,0,4.682498164143567e-05,1.0419215072943189e-06,4.682498164143567e-05,1.0419215072943189e-06
b'golden_delicious.n.01',l,0,1,0,10,37,2,0,1,1.0,16.0,16,0,0,2.279939253557739e-06,4.1403312639465284e-08,4.463027651224749e-06,8.143559782070042e-08
