Synset,class
musical_instrument.n.01,0.0
piano.n.01,1.0
grand_piano.n.01,0.0
upright.n.02,0.0
drum.n.01,1.0
bass_drum.n.01,0.0
fruit.n.01,0.0
apple.n.01,1.0
peach.n.03,1.0
freestone.n.01,0.0
cling.n.01,0.0
grape.n.01,1.0
concord_grape.n.01,0.0
pear.n.01,1.0
tool.n.01,0.0
hammer.n.02,1.0
ball-peen_hammer.n.01,0.0
saw.n.02,1.0
hacksaw.n.01,0.0
crosscut_saw.n.01,0.0
screwdriver.n.01,1.0
phillips_screwdriver.n.01,0.0
flat_tip_screwdriver.n.01,0.0
clothing.n.01,0.0
trouser.n.01,1.0
jean.n.01,0.0
sock.n.01,1.0
knee-high.n.01,0.0
anklet.n.02,0.0
shirt.n.01,1.0
dress_shirt.n.01,0.0
necktie.n.01,1.0
scarf.n.01,1.0
shoe.n.01,1.0
underwear.n.01,0.0
furniture.n.01,0.0
table.n.02,1.0
kitchen_table.n.01,0.0
lamp.n.02,1.0
floor_lamp.n.01,0.0
table_lamp.n.01,0.0
chair.n.01,1.0
bed.n.01,1.0
sofa.n.01,1.0
vehicle.n.01,0.0
car.n.01,1.0
sports_car.n.01,0.0
sedan.n.01,0.0
limousine.n.01,0.0
bus.n.01,1.0
school_bus.n.01,0.0
truck.n.01,1.0
pickup.n.01,0.0
tractor.n.02,0.0
fire_engine.n.01,0.0
trailer_truck.n.01,0.0
motorcycle.n.01,1.0
plant.n.02,0.0
tree.n.01,1.0
maple.n.02,0.0
birch.n.02,0.0
oak.n.02,0.0
pine.n.01,0.0
animal.n.01,0.0
dog.n.01,1.0
poodle.n.01,0.0
insect.n.01,0.0
vegetable.n.01,0.0
radish.n.01,1.0
weaponry.n.01,0.0
bomb.n.01,1.0
timepiece.n.01,0.0
watch.n.01,1.0
footwear.n.02,0.0
sandal.n.01,0.0
boot.n.01,1.0
sports_implement.n.01,0.0
racket.n.04,1.0
shelter.n.01,0.0
tent.n.01,1.0
