variances,average of variances,variance of variances,frequencies,average of distances,word_length,nn_len,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,class
0.05241361,0.0534662596881389,0.0149717014282941,527,0.9021906137466432,12,7.8,-0.20130642,-0.08285262,0.14545652,-0.17641167,-0.1546132,-0.1719521,0.01614062,0.20344928,-0.01283652,-0.08512148,0.09333234,0.11161879,-0.0307824,0.07336825,-0.05649695,-0.04006715,-0.009827,0.06971389,0.03421855,0.0260146,0.00961478,0.20913759,0.08372954,0.06252621,-0.16692083,-0.22033446,0.06457831,-0.14112945,0.00783329,0.14955361,0.01801416,0.07720131,0.04137099,0.01077065,-0.12836294,0.00834854,0.18833534,-0.06866978,-0.14388846,-0.0682594,0.00987346,-0.04888341,0.06809128,0.08624546,0.28344762,0.26837656,-0.0478135,-0.15812898,0.16330616,-0.06487334,0
0.05239344,0.0510823972523212,0.0459098555147647,74,0.8264092683792115,5,7.8,-0.24958454,-0.1459209,0.02035346,-0.22836402,-0.06474719,-0.08610926,-0.12280298,0.19971417,-0.20319226,0.04270592,0.04162075,0.04523699,-0.20465757,0.18994448,0.05198397,-0.14574526,-0.11895789,0.10195339,0.12439203,-0.10531681,0.02593581,0.08121072,0.10752929,0.09778043,0.01254065,-0.14981657,0.00651313,-0.1250079,0.01331367,0.02616484,-0.05449018,-0.01304599,0.17990528,0.00235174,-0.24617113,-0.18369555,0.13896258,0.04403119,-0.13690041,-0.21980134,-0.0762822,-0.10277074,0.14430931,0.02473905,0.25952393,0.1810344,0.00622774,0.02266795,0.02349199,-0.18347366,1
0.05121668,0.0508010253310203,0.0252059362828731,1,0.7231093645095825,12,11.0,-0.27348363,0.01831808,-0.08895769,-0.04381501,-0.2738457,-0.28761524,-0.08310876,-0.04783726,0.04261158,-0.02372748,0.02486943,0.07686467,0.22628741,0.10738223,-0.13430433,0.02893581,0.15253064,-0.1488615,-0.05791816,-0.21049589,0.11891898,-0.01002225,0.2357382,-0.1053809,0.01247357,-0.05067372,0.1399951,0.06212476,-0.2144103,0.22880381,0.01819951,0.25404364,0.00372755,0.02516277,0.03469363,-0.08635225,-0.16762504,0.18931459,-0.09294469,0.08313513,-0.04554454,-0.1517888,0.03020803,0.06247203,0.04778479,-0.13832319,0.11897158,0.00620528,-0.10050306,-0.17670918,1
0.05345053,0.053956388682127,0.0110075883567333,37342,0.9147397875785828,5,9.0,-0.0861500427,-0.0177469291,0.160109714,-0.0567451082,-0.212872908,-0.0363145806,0.0394653827,0.09934894,-0.170556992,-0.0311000794,-0.0545322858,0.0834014267,-0.119789794,0.0470992588,0.0877550915,0.0109492112,-0.0421857908,-0.0989747867,-0.0201921631,0.134065479,0.0908709764,-0.0491890758,2.92109798e-05,-0.0975904986,-0.022846505,-0.273621261,0.0611461475,0.0364694744,0.182637602,0.124163434,-0.0240098145,0.111863174,-0.0929909572,0.0186148137,-0.0970219672,0.100941271,0.0890797824,-0.00304579013,-0.0385813043,-0.0302804764,-0.0285075884,-0.000337694364,0.0922692642,0.101153299,0.0445195325,-0.0565719455,0.170164436,-6.27722839e-05,-0.028677091,0.114316724,1
0.04882774,0.0533477261662483,0.0337438471615314,46,0.8198104977607727,13,5.8,-0.18232259,-0.29276213,0.22972643,-0.2219537,-0.1575548,-0.17523529,-0.08607884,0.20699534,-0.13197398,-0.0956394,0.10647691,0.25757638,-0.23681985,0.10526487,-0.17609897,0.13263705,-0.02106432,-0.13309686,0.13686801,0.13315025,-0.01962232,0.01475787,-0.09018984,0.06156693,-0.0302127,-0.06494607,0.08859039,-0.07807506,0.09713507,-0.04536986,0.05925766,0.07568447,-0.16329376,0.08811633,-0.21043874,0.02649166,0.2732627,0.15595806,-0.07033414,-0.08092202,0.02221614,-0.10850448,-0.05612674,0.20997888,0.07313112,0.16153383,0.03581284,-0.09612395,0.11931609,0.00491409,0
0.05277429,0.0515637293457984,0.0310459174215793,2,0.7116830110549927,18,9.2,-0.10464615,-0.17436264,-0.01951015,-0.04046562,0.06833337,-0.04667097,0.00383395,-0.05871776,-0.2452325,0.1014858,0.13236819,0.17721555,0.10812549,0.1606138,0.04168307,0.11404348,0.09301574,-0.06000034,-0.10622316,-0.2330699,-0.07290642,0.0192518,-0.0027258,0.02806757,-0.12685841,-0.26271403,-0.03951373,0.06027044,-0.04479757,-0.12152708,0.12402645,0.24587753,-0.18922918,0.08424345,0.11130743,-0.27060798,0.02434272,0.03177966,0.1057673,-0.02872587,-0.2451841,-0.07521388,-0.18802322,0.20017204,-0.11136356,0.14699928,-0.1899375,-0.1020349,-0.10381565,-0.06518288,0
0.05141381,0.0522574499249458,0.0436763800680637,2,0.6995839595794677,20,7.8,-0.18706666,-0.16033888,0.14182982,0.06132725,-0.30788073,0.15109515,-0.10966443,-0.02777168,-0.1879993,-0.0897356,-0.12458596,-0.01249077,-0.22814354,0.07768553,0.13410784,-0.15630291,0.11876368,0.10643944,0.01492811,-0.14664045,-0.14308578,0.12334689,0.05835807,-0.08222461,0.1560204,-0.23287274,0.13613032,-0.00309277,0.14131662,0.03325769,-0.1465396,0.19898306,-0.18799274,-0.19101949,-0.11950183,0.06658395,0.1990582,-0.23929101,-0.11577395,-0.23106465,0.02046093,-0.02842953,-0.13153712,0.17615065,0.03159283,0.12826912,-0.09026409,-0.2056722,-0.00207679,-0.19104911,0
0.05314621,0.050757086277008,0.0172092765569686,2,0.7070634961128235,14,9.2,0.08274922,0.00345607,-0.10747992,-0.11701823,-0.21110044,0.11274235,-0.11377972,0.2247925,-0.23726071,-0.14108308,0.05188349,0.1391031,-0.03301934,0.16617765,0.18088807,0.19439004,-0.04977775,0.14382102,-0.10297704,-0.09257294,0.09327248,0.101215,0.01381296,-0.11128128,0.14789765,-0.26818547,0.00128654,-0.10142076,-0.12533061,-0.08498777,0.15226224,0.18163142,0.00426263,-0.30152652,-0.03337503,0.01066456,-0.03724644,-0.07428484,-0.16302276,-0.07909068,0.16157202,0.0740989,0.01721806,-0.05881122,-0.11948725,-0.00107748,-0.0468484,-0.24791582,0.11257105,-0.01563266,0
0.0490406,0.0506021000444889,0.0256514623761177,2,0.7060003876686096,11,11.8,0.12667935,-0.03509611,0.07288505,-0.26791888,-0.30017462,0.12509178,-0.13035741,-0.04036422,0.14165501,-0.21007481,-0.00484635,0.24937718,-0.186848,-0.1355372,0.11833213,0.04988329,0.11974455,0.03141041,0.16494636,-0.02663354,0.18800619,0.11390954,-0.10699777,-0.20944989,0.00160904,0.05170295,-0.11620892,0.1480296,0.24322148,0.01042755,0.19323865,0.10185961,-0.15019226,-0.16899537,-0.03175618,-0.13458844,-0.14157465,-0.08748921,-0.06129014,0.13743058,-0.1702925,0.16158846,0.02135679,-0.01172959,0.11730455,0.24125896,-0.14650755,0.07158127,0.02875473,0.21485136,0
0.05151195,0.0511866927146911,0.0228885412216186,6,0.691820251941681,10,7.0,-0.20483054,-0.23373708,0.03016213,0.02825078,0.11143117,-0.19169383,0.1390462,-0.04417612,-0.16842698,0.00094867,-0.07117171,-0.09255593,0.11561992,0.06543627,-0.0119945,0.21877086,-0.15808882,-0.12284414,-0.05072896,-0.1629752,-0.02578934,0.3633062,-0.03076946,0.11458121,0.06102251,-0.15357693,0.06241167,0.05023758,0.10201962,0.11391571,-0.03917355,-0.10251891,0.11019246,0.06999098,-0.19069494,-0.01129428,-0.02078843,-0.14288624,-0.10783428,-0.17078319,-0.04362097,0.06590082,-0.19556423,-0.09263583,-0.23970994,0.17909123,0.16190399,0.01188845,0.12407234,0.07526183,0
